project_id,project_progress,task_completion_rate,blocked_task_ratio,overdue_task_ratio,requirement_completion_rate,milestone_completion_rate,open_issue_count,critical_issue_count,api_test_failure_rate,avg_api_response_time_ms,technical_review_score,days_remaining,development_velocity,risk_level
DP-0635,85.26,83.24,0.0,0.0,77.02,75.8,3,0,6.29,242.47,100.0,48,6.88,LOW
DP-0636,78.61,69.07,0.0,5.8,69.19,77.56,2,0,9.73,223.05,72.05,12,4.37,LOW
DP-0637,33.57,27.58,12.38,7.39,36.06,38.11,4,2,19.45,152.28,86.67,72,3.52,HIGH
DP-0638,13.04,6.12,9.54,18.78,17.86,19.02,3,1,23.58,162.65,97.19,11,1.2,HIGH
DP-0639,22.5,20.83,4.8,15.23,21.26,5.24,5,1,18.08,270.45,87.05,26,2.04,HIGH
DP-0640,44.81,51.44,0.0,4.32,44.34,53.97,0,0,9.72,259.94,88.32,7,5.01,MEDIUM
DP-0641,84.79,100.0,0.0,2.63,73.01,79.67,3,0,4.68,230.68,80.29,9,7.46,LOW
DP-0642,65.62,70.52,0.0,0.87,55.18,58.22,3,0,0.0,287.47,89.12,6,5.0,LOW
DP-0643,46.03,47.61,11.39,12.57,57.0,48.76,5,1,15.11,161.13,73.25,39,4.27,MEDIUM
DP-0644,33.32,49.44,0.0,18.16,28.14,10.88,7,3,10.72,253.94,76.06,30,4.25,HIGH
DP-0645,53.29,62.95,8.69,0.0,38.1,79.79,3,0,6.34,312.35,64.18,38,3.56,LOW
DP-0646,51.71,75.04,8.38,10.51,31.96,58.93,3,0,17.53,161.0,75.79,13,5.23,MEDIUM
DP-0647,76.02,68.59,0.0,0.0,82.89,78.74,2,0,8.54,263.94,87.92,7,4.42,LOW
DP-0648,81.01,91.98,3.56,2.59,100.0,86.01,2,0,4.82,147.2,87.29,11,6.24,LOW
DP-0649,19.56,22.95,9.71,0.09,10.25,17.85,3,1,21.03,139.08,79.8,24,2.54,HIGH
DP-0650,50.45,32.24,0.0,7.46,53.51,45.16,1,0,5.18,213.31,81.11,77,2.95,LOW
DP-0651,65.62,78.13,4.5,1.59,53.48,61.04,3,0,0.0,272.67,88.32,41,5.61,LOW
DP-0652,87.06,95.94,0.0,1.3,89.11,100.0,4,0,5.36,203.38,89.92,44,5.97,LOW
DP-0653,35.39,46.55,5.24,8.73,22.96,45.83,4,0,14.49,236.15,76.98,53,4.13,MEDIUM
DP-0654,47.03,48.8,17.32,0.59,58.09,38.38,2,0,14.21,329.15,82.8,53,2.74,MEDIUM
DP-0655,40.57,32.52,4.37,11.72,42.83,62.86,4,2,13.83,186.54,76.65,39,2.82,MEDIUM
DP-0656,45.03,49.92,10.35,23.45,30.2,53.91,7,1,17.43,187.83,67.09,29,3.17,MEDIUM
DP-0657,42.15,40.73,7.53,13.8,37.93,37.23,3,1,12.8,210.88,88.11,54,3.86,MEDIUM
DP-0658,37.46,49.68,0.0,10.49,41.65,43.9,3,0,3.95,88.5,86.91,35,4.0,LOW
DP-0659,51.98,44.74,16.22,3.34,75.21,22.5,4,2,25.16,260.1,79.33,21,2.49,HIGH
DP-0660,78.42,76.41,16.16,6.46,80.89,64.88,3,0,5.53,162.62,80.03,35,4.28,LOW
DP-0661,77.75,80.64,0.0,0.0,75.17,90.16,7,0,13.45,234.59,85.22,18,7.0,LOW
DP-0662,57.58,61.46,6.65,6.38,49.36,61.09,6,2,1.01,143.16,64.82,60,3.95,MEDIUM
DP-0663,88.22,94.38,0.07,13.44,66.51,72.55,2,0,1.54,196.46,82.61,35,6.41,LOW
DP-0664,32.23,34.63,8.94,7.89,39.34,17.91,3,0,8.07,338.93,92.03,44,2.83,MEDIUM
DP-0665,72.83,59.53,3.46,5.1,69.56,79.33,3,0,0.16,195.56,78.55,21,4.3,LOW
DP-0666,59.67,64.85,0.13,3.93,50.93,63.22,0,0,16.3,280.23,90.57,101,3.86,LOW
DP-0667,20.62,28.68,8.61,24.31,22.26,19.09,6,0,23.85,178.61,85.97,11,3.2,HIGH
DP-0668,81.06,73.06,0.0,6.66,95.41,69.84,2,0,7.99,226.63,75.75,21,5.59,LOW
DP-0669,55.49,48.94,2.58,4.63,64.7,37.68,4,0,12.7,290.94,83.81,23,3.76,MEDIUM
DP-0670,25.75,26.84,5.93,7.63,37.32,52.03,5,1,18.53,259.44,88.48,15,2.33,HIGH
DP-0671,44.84,45.78,3.04,15.66,42.58,65.25,6,1,13.94,402.41,93.08,22,4.11,MEDIUM
DP-0672,58.33,35.58,4.79,8.46,49.59,63.6,7,0,3.77,205.94,75.05,33,1.52,MEDIUM
DP-0673,46.89,26.53,7.88,0.0,49.93,44.25,2,0,15.77,312.2,84.6,32,3.79,MEDIUM
DP-0674,76.61,63.64,3.67,1.98,82.34,75.73,1,0,0.86,202.66,79.04,23,3.99,LOW
DP-0675,49.42,52.39,0.99,0.0,52.78,57.07,1,0,11.97,122.98,87.32,18,4.29,LOW
DP-0676,39.33,37.23,0.0,4.97,40.83,37.4,5,2,10.31,203.52,97.29,35,4.4,MEDIUM
DP-0677,79.03,75.04,12.24,1.5,91.23,66.33,1,0,5.01,80.0,92.56,14,4.53,LOW
DP-0678,66.48,67.73,2.97,8.73,56.82,79.75,0,0,2.05,80.0,87.06,23,5.8,LOW
DP-0679,79.7,97.74,5.87,10.36,75.39,51.87,1,0,5.81,176.54,82.51,31,5.6,LOW
DP-0680,22.54,31.44,4.78,0.0,5.0,10.4,6,0,13.29,325.44,88.12,17,3.17,MEDIUM
DP-0681,64.77,59.1,11.9,0.98,38.39,49.51,4,1,12.45,175.83,81.85,17,3.99,MEDIUM
DP-0682,59.4,54.38,0.0,9.62,50.91,69.36,6,1,10.81,263.02,88.44,34,5.54,HIGH
DP-0683,18.03,10.07,2.56,15.0,5.0,11.67,6,2,6.96,149.69,86.17,17,2.14,HIGH
DP-0684,81.29,73.63,0.0,0.49,89.61,83.07,1,0,1.97,172.08,84.99,17,5.8,LOW
DP-0685,52.77,54.81,9.18,2.35,76.69,53.76,5,1,10.65,110.45,81.7,24,4.21,MEDIUM
DP-0686,24.96,50.54,7.76,14.83,5.0,47.82,6,1,12.04,172.75,80.71,32,3.06,HIGH
DP-0687,23.89,12.83,14.37,2.61,20.13,15.26,8,1,16.16,255.54,85.64,12,1.53,HIGH
DP-0688,43.53,38.36,0.0,19.32,62.55,43.85,7,0,9.77,266.11,85.69,18,4.39,MEDIUM
DP-0689,61.2,71.85,0.0,2.81,65.98,73.48,6,1,15.44,159.87,89.02,21,6.03,MEDIUM
DP-0690,72.42,65.7,7.07,1.34,78.03,76.92,2,1,0.0,263.11,82.8,6,5.44,MEDIUM
DP-0691,63.46,69.87,1.39,10.98,80.89,70.38,4,0,5.28,132.4,85.67,32,5.45,LOW
DP-0692,80.67,89.73,11.88,0.0,81.53,83.08,3,0,12.15,242.34,87.53,13,5.75,LOW
DP-0693,52.37,56.14,8.9,6.24,52.11,51.62,4,1,6.21,185.07,95.84,6,3.67,HIGH
DP-0694,59.57,49.2,0.12,6.26,57.8,62.45,3,0,0.0,233.63,83.7,35,4.4,LOW
DP-0695,92.58,84.55,0.0,7.65,78.3,94.11,3,0,13.64,314.53,87.83,35,5.41,LOW
DP-0696,42.28,31.89,0.0,7.58,37.71,54.45,3,1,18.94,233.95,83.55,32,2.7,MEDIUM
DP-0697,15.09,5.16,11.27,3.96,24.63,20.45,6,3,15.41,139.65,76.02,28,2.22,HIGH
DP-0698,68.71,63.81,0.85,14.24,73.12,61.14,1,0,2.42,131.72,86.73,31,5.47,LOW
DP-0699,79.17,60.99,0.0,0.0,86.62,93.11,5,0,6.5,205.7,90.44,62,5.36,LOW
DP-0700,40.48,23.03,7.15,7.39,31.32,57.39,6,0,5.61,285.52,97.51,23,1.82,HIGH
DP-0701,67.19,39.63,0.0,7.5,63.06,41.86,4,0,16.04,80.0,83.78,35,2.45,MEDIUM
DP-0702,64.74,58.77,6.55,7.31,63.12,60.03,3,0,3.64,80.0,87.29,26,4.07,LOW
DP-0703,50.86,47.74,0.0,8.22,49.18,62.01,5,1,19.4,281.04,80.88,7,3.45,HIGH
DP-0704,74.05,73.05,13.17,0.0,71.74,76.43,4,1,9.54,161.25,70.42,27,3.96,MEDIUM
DP-0705,67.9,69.01,6.24,6.21,43.41,74.5,1,0,14.37,213.5,92.73,31,5.61,LOW
DP-0706,56.36,55.15,9.54,5.69,60.64,59.98,3,0,21.87,260.66,85.3,61,3.49,MEDIUM
DP-0707,75.65,65.27,0.54,0.0,63.99,78.1,3,0,8.1,198.9,70.88,12,5.24,LOW
DP-0708,72.73,76.68,4.74,0.0,73.22,61.73,5,0,5.95,257.07,82.58,41,5.11,LOW
DP-0709,88.25,93.55,2.64,1.1,84.49,100.0,3,0,4.81,80.0,71.67,52,8.0,LOW
DP-0710,55.76,51.24,4.13,8.53,44.62,47.9,3,0,1.58,165.74,94.25,43,4.75,LOW
DP-0711,20.82,26.28,9.99,0.0,5.49,0.0,6,1,9.82,158.77,78.77,7,2.88,HIGH
DP-0712,53.02,62.57,11.95,1.24,51.53,48.78,4,1,9.38,199.84,95.42,54,6.14,MEDIUM
DP-0713,60.72,70.69,0.0,5.08,53.8,48.18,3,0,9.96,96.83,88.36,23,4.95,LOW
DP-0714,33.99,5.17,12.15,16.13,36.12,24.71,4,1,17.78,314.58,81.62,15,1.16,HIGH
DP-0715,54.02,49.22,4.05,8.04,50.47,53.86,5,1,11.92,303.36,78.46,48,5.36,MEDIUM
DP-0716,60.07,65.65,8.25,14.68,53.97,44.4,2,1,26.39,197.67,87.68,29,4.66,MEDIUM
DP-0717,85.23,100.0,0.0,0.0,53.0,100.0,6,0,5.9,140.8,86.43,7,7.24,LOW
DP-0718,59.94,82.53,0.0,5.1,26.43,67.16,3,0,4.68,226.05,88.68,23,5.76,LOW
DP-0719,81.41,86.33,0.0,0.0,61.77,92.76,6,0,16.03,150.88,82.45,20,5.53,LOW
DP-0720,66.17,74.08,0.0,0.0,65.19,52.1,4,1,9.31,154.74,75.93,27,6.68,LOW
DP-0721,97.74,100.0,0.0,0.43,89.62,100.0,5,0,0.0,140.68,87.41,25,7.11,LOW
DP-0722,48.23,49.73,10.06,7.44,25.51,34.06,2,0,10.49,109.63,86.96,16,4.14,MEDIUM
DP-0723,36.19,41.98,7.23,11.02,37.71,36.21,1,0,15.59,250.78,75.31,24,4.64,MEDIUM
DP-0724,51.01,35.74,0.0,4.12,51.68,30.49,4,0,4.95,155.08,86.24,9,3.39,MEDIUM
DP-0725,83.51,91.31,2.55,7.03,78.31,89.32,4,0,2.25,226.56,84.89,78,6.11,LOW
DP-0726,79.52,78.91,0.0,0.0,84.03,100.0,4,0,9.52,270.56,95.53,58,6.32,LOW
DP-0727,50.86,40.27,0.0,5.26,63.1,43.91,1,1,16.2,212.28,86.97,27,2.91,MEDIUM
DP-0728,64.92,83.94,0.0,2.99,66.14,63.94,6,2,4.96,129.51,77.59,22,6.1,MEDIUM
DP-0729,29.03,27.6,7.93,14.93,42.63,35.28,7,1,15.37,178.43,80.75,28,2.54,HIGH
DP-0730,21.27,29.44,3.34,7.73,40.48,20.36,4,1,7.43,322.99,87.01,62,2.6,MEDIUM
DP-0731,76.28,83.73,6.16,7.74,77.08,64.85,3,0,1.63,215.25,86.85,28,5.87,LOW
DP-0732,67.88,68.04,1.06,10.44,89.5,59.3,3,0,14.62,136.23,91.1,33,4.44,LOW
DP-0733,33.77,32.44,5.35,1.29,26.59,66.1,1,0,8.27,168.01,84.56,31,1.99,LOW
DP-0734,25.76,14.57,9.4,1.41,37.39,30.07,3,1,15.68,290.87,88.12,40,1.06,HIGH
DP-0735,62.56,64.06,7.87,5.88,78.55,62.81,4,1,7.41,80.0,87.41,22,5.35,LOW
DP-0736,93.89,88.16,1.68,7.94,89.06,100.0,4,0,12.04,207.72,93.19,12,4.85,LOW
DP-0737,77.62,67.5,0.0,0.0,93.56,49.92,1,0,14.91,238.44,95.92,21,6.23,LOW
DP-0738,58.25,48.6,2.22,4.12,59.92,56.48,5,1,0.96,191.35,81.09,72,3.87,LOW
DP-0739,16.27,26.97,12.82,4.35,22.0,10.06,5,1,14.18,297.22,82.04,35,3.5,HIGH
DP-0740,84.62,84.39,0.0,7.16,80.08,100.0,4,0,1.05,211.92,81.44,15,5.44,LOW
DP-0741,32.97,43.26,6.81,5.05,41.39,33.55,5,0,14.63,207.3,76.23,13,4.13,HIGH
DP-0742,43.49,54.41,0.0,18.33,50.6,59.12,4,1,18.53,251.22,83.32,15,4.76,MEDIUM
DP-0743,56.08,87.99,4.84,0.38,32.25,54.7,3,2,14.02,272.54,89.06,82,5.89,MEDIUM
DP-0744,44.56,49.99,8.32,12.65,21.4,57.73,2,1,15.84,257.31,85.64,42,4.24,MEDIUM
DP-0745,95.48,89.16,0.0,0.0,71.3,100.0,3,0,8.9,213.68,88.43,81,6.46,LOW
DP-0746,23.87,34.36,5.46,7.49,27.23,5.99,6,1,4.7,225.8,85.33,31,3.17,MEDIUM
DP-0747,65.46,65.28,5.18,13.16,74.14,41.96,3,1,13.52,147.15,84.53,15,4.57,MEDIUM
DP-0748,85.9,75.1,0.0,1.43,78.74,92.09,1,0,0.3,197.6,79.99,56,6.61,LOW
DP-0749,68.33,79.16,8.99,6.32,53.58,83.51,2,0,0.29,230.94,80.65,15,4.87,LOW
DP-0750,63.05,57.02,11.03,7.65,60.73,73.6,2,0,22.23,159.99,86.02,23,4.53,MEDIUM
DP-0751,57.46,54.88,0.0,5.53,52.29,59.54,5,0,10.24,167.17,81.51,15,4.89,MEDIUM
DP-0752,90.31,74.55,3.76,6.04,100.0,90.7,2,0,2.71,122.43,91.4,17,5.73,LOW
DP-0753,57.63,47.58,15.41,13.76,61.32,87.36,9,2,9.15,131.11,86.35,25,2.9,HIGH
DP-0754,36.24,36.57,7.84,15.99,35.68,42.85,6,1,7.77,221.75,95.68,37,3.29,MEDIUM
DP-0755,39.34,48.3,0.0,9.49,17.66,27.89,9,1,11.31,191.85,85.02,6,5.18,MEDIUM
DP-0756,71.41,88.11,0.0,0.15,83.5,90.4,8,0,2.01,188.72,75.36,27,5.68,LOW
DP-0757,52.4,45.26,3.26,9.94,47.26,40.63,1,0,7.84,103.44,68.9,25,3.65,MEDIUM
DP-0758,52.49,49.71,10.28,9.29,46.22,53.54,4,0,8.72,220.38,97.11,30,3.47,MEDIUM
DP-0759,62.68,66.2,6.31,5.26,57.56,51.68,7,1,8.95,231.47,82.92,32,4.35,MEDIUM
DP-0760,80.9,69.53,1.92,8.68,76.92,71.26,1,0,0.0,373.87,77.32,20,4.45,LOW
DP-0761,81.67,76.98,0.0,0.0,86.77,66.54,0,0,5.88,373.82,84.22,19,5.87,LOW
DP-0762,83.28,72.68,0.0,16.71,88.03,65.77,7,0,9.42,229.53,87.05,28,4.42,LOW
DP-0763,31.71,32.51,12.47,8.76,31.32,41.09,3,0,15.42,216.12,92.57,7,1.97,MEDIUM
DP-0764,51.55,62.15,10.68,19.03,54.96,47.92,4,1,11.41,117.0,78.7,60,4.22,MEDIUM
DP-0765,63.78,73.25,0.0,1.02,67.54,87.55,7,2,17.53,256.98,72.06,14,4.57,MEDIUM
DP-0766,57.25,65.38,0.87,2.1,54.91,80.49,1,0,16.04,168.42,78.47,18,5.55,LOW
DP-0767,53.76,64.37,0.0,4.79,55.83,66.88,3,0,2.45,226.54,82.49,36,4.82,LOW
DP-0768,60.3,69.5,0.0,1.94,51.01,69.15,4,0,15.33,149.75,73.22,32,4.82,LOW
DP-0769,41.33,49.12,10.59,2.19,66.16,35.43,1,0,15.24,226.24,90.95,22,2.94,MEDIUM
DP-0770,52.36,62.93,4.54,25.95,46.32,77.02,3,1,13.78,118.31,77.83,51,4.64,MEDIUM
DP-0771,49.96,47.01,9.27,13.82,59.96,48.87,5,0,9.78,280.48,79.3,14,3.79,HIGH
DP-0772,60.25,66.63,1.68,7.08,47.81,78.33,1,0,6.09,328.98,87.16,22,6.09,LOW
DP-0773,63.72,50.53,7.97,6.24,62.81,67.75,1,0,17.14,228.17,75.47,26,3.4,LOW
DP-0774,63.85,67.15,2.33,0.0,54.44,36.61,5,0,0.0,195.28,93.79,20,5.17,LOW
DP-0775,63.08,65.7,13.29,5.88,73.96,73.32,5,0,18.81,136.27,86.38,18,3.76,MEDIUM
DP-0776,49.35,56.18,0.0,6.37,65.56,34.2,3,0,12.83,114.63,83.49,26,4.56,LOW
DP-0777,65.07,68.15,10.18,9.39,55.97,69.87,6,0,9.58,124.55,87.73,16,4.22,MEDIUM
DP-0778,73.22,69.31,4.42,2.19,83.91,83.23,3,0,8.87,171.84,82.42,36,4.47,LOW
DP-0779,69.9,73.87,0.0,0.0,57.29,88.92,1,0,7.0,203.27,81.53,9,5.98,LOW
DP-0780,79.38,86.3,0.0,0.0,73.35,82.67,7,0,2.57,196.95,92.33,30,6.27,LOW
DP-0781,42.07,54.52,2.04,13.07,37.61,59.97,7,0,11.5,257.53,88.56,35,5.23,LOW
DP-0782,59.29,45.84,0.42,11.76,64.61,72.85,2,1,4.18,232.05,79.85,32,3.19,MEDIUM
DP-0783,79.92,69.23,1.18,0.0,89.26,82.7,4,0,0.61,179.0,85.48,21,5.05,LOW
DP-0784,78.1,81.11,6.43,4.81,83.69,90.81,3,0,9.19,173.77,81.67,48,5.12,LOW
DP-0785,78.64,77.24,1.94,0.9,81.87,87.56,3,1,10.07,202.21,94.77,29,6.29,LOW
DP-0786,29.2,34.51,6.71,0.0,25.52,22.3,5,3,9.6,213.03,84.97,60,2.99,MEDIUM
DP-0787,42.68,44.42,6.86,6.84,53.5,33.22,6,0,11.05,164.2,88.18,29,4.86,HIGH
DP-0788,63.08,67.35,1.9,5.73,56.17,70.9,2,1,6.96,269.67,94.9,22,5.28,LOW
DP-0789,83.54,86.28,3.89,5.33,77.87,82.02,2,0,7.06,264.74,74.87,21,6.51,LOW
DP-0790,96.14,88.38,0.03,0.0,79.22,87.1,1,0,3.9,216.93,82.98,24,6.36,LOW
DP-0791,40.14,47.17,11.12,4.06,33.71,43.3,3,0,12.38,306.24,74.53,31,4.22,MEDIUM
DP-0792,49.4,62.98,0.0,8.55,52.91,49.09,6,0,14.29,332.86,77.82,13,5.34,MEDIUM
DP-0793,54.52,73.09,7.21,1.04,71.15,41.05,3,0,9.13,209.93,90.02,29,4.53,LOW
DP-0794,70.31,51.36,0.0,7.81,57.85,70.0,2,0,4.81,158.79,80.53,28,3.14,LOW
DP-0795,22.17,22.45,0.98,5.19,18.23,2.47,8,0,15.5,229.28,89.98,10,3.52,MEDIUM
DP-0796,22.68,22.4,7.02,16.81,5.0,49.53,5,1,6.79,258.06,78.19,38,3.58,HIGH
DP-0797,70.2,76.11,7.11,4.16,71.24,75.34,2,0,3.68,203.92,84.0,90,4.1,LOW
DP-0798,86.66,95.87,0.0,1.11,81.07,82.22,2,0,1.03,99.2,87.0,22,6.17,LOW
DP-0799,70.65,53.33,0.0,0.0,61.4,67.43,1,0,9.3,281.78,83.64,9,5.09,LOW
DP-0800,45.5,47.14,0.69,14.45,74.16,43.03,3,0,11.22,127.19,71.71,26,4.22,MEDIUM
DP-0801,52.66,54.95,0.0,9.78,33.14,29.74,1,0,1.39,179.11,89.82,82,5.47,LOW
DP-0802,12.06,24.51,1.58,0.0,5.02,22.74,7,2,7.46,223.63,74.29,31,3.06,HIGH
DP-0803,70.86,70.55,4.21,0.0,66.56,61.3,4,0,4.69,143.46,77.84,40,5.48,LOW
DP-0804,32.45,13.64,4.21,3.87,32.63,35.65,3,0,11.51,228.03,90.93,42,1.67,LOW
DP-0805,68.8,72.92,0.0,11.6,63.37,85.43,3,0,8.59,125.23,85.64,24,5.76,LOW
DP-0806,67.41,79.27,1.73,10.29,57.66,67.45,2,1,13.57,219.47,83.58,29,6.32,LOW
DP-0807,58.25,48.63,0.82,0.0,79.6,55.34,4,1,11.91,216.4,86.64,12,4.59,MEDIUM
DP-0808,30.09,5.0,8.43,0.0,43.34,37.39,3,2,12.45,232.57,73.25,58,0.38,HIGH
DP-0809,23.97,24.85,0.0,1.55,20.33,34.79,7,2,6.12,217.83,81.61,41,1.77,HIGH
DP-0810,33.12,47.69,5.97,13.83,43.94,17.76,5,1,19.02,120.45,89.74,27,4.04,MEDIUM
DP-0811,52.7,68.4,0.0,0.0,59.05,31.69,5,1,7.41,226.1,85.41,11,4.8,MEDIUM
DP-0812,48.42,39.04,14.83,13.59,23.12,48.9,3,0,19.92,220.51,83.95,31,2.82,MEDIUM
DP-0813,74.77,92.79,0.68,0.54,56.8,85.65,2,0,9.14,277.67,90.53,38,6.4,LOW
DP-0814,70.1,76.29,3.77,0.0,77.38,82.4,5,0,5.38,103.69,78.24,41,4.77,LOW
DP-0815,11.96,21.61,12.82,14.42,36.22,30.27,9,0,18.58,90.23,76.37,7,2.46,HIGH
DP-0816,38.92,42.09,3.08,5.92,20.31,43.13,5,2,17.37,218.01,91.15,42,4.81,MEDIUM
DP-0817,60.31,43.93,11.79,9.95,73.27,60.37,3,0,9.06,151.43,83.56,16,2.78,LOW
DP-0818,51.14,72.87,0.0,2.86,46.79,56.91,7,2,2.24,285.95,85.47,59,6.8,LOW
DP-0819,51.74,50.41,5.67,0.0,80.71,69.09,4,0,10.45,237.64,86.89,28,3.45,LOW
DP-0820,84.24,75.96,0.0,0.0,84.87,80.4,4,0,14.25,309.25,86.23,18,4.55,LOW
DP-0821,50.68,61.0,9.76,11.94,38.51,14.44,3,1,22.67,92.54,69.11,17,3.47,MEDIUM
DP-0822,64.06,53.43,1.45,10.49,57.86,99.96,3,0,0.0,217.61,87.81,12,5.37,LOW
DP-0823,65.54,68.31,5.92,1.22,71.03,77.52,4,0,17.94,187.77,92.77,36,4.78,LOW
DP-0824,44.69,31.15,0.0,11.48,58.67,68.56,4,1,6.41,144.05,83.24,24,1.65,MEDIUM
DP-0825,31.24,36.24,6.11,10.21,48.98,35.91,4,2,18.5,376.27,89.26,25,3.15,HIGH
DP-0826,55.33,36.68,4.53,0.02,47.42,61.19,6,1,7.74,177.03,81.09,18,4.55,MEDIUM
DP-0827,48.91,50.72,3.58,8.81,40.77,41.98,7,2,7.42,208.43,72.74,25,4.68,HIGH
DP-0828,32.88,35.06,1.76,4.83,39.27,38.4,6,0,7.02,275.93,88.32,16,3.54,MEDIUM
DP-0829,86.4,80.82,0.0,4.26,88.86,72.58,5,0,0.0,206.23,94.2,14,5.69,LOW
DP-0830,87.94,97.04,0.07,9.45,100.0,78.84,2,0,2.83,161.24,89.29,45,7.64,LOW
DP-0831,32.17,56.45,9.07,8.42,16.73,30.21,4,1,16.19,337.64,81.52,60,2.36,HIGH
DP-0832,42.31,55.47,0.0,0.0,39.04,31.05,8,2,18.27,258.18,80.13,28,4.17,HIGH
DP-0833,41.65,54.78,7.4,10.95,49.88,42.09,2,0,20.47,266.27,84.31,20,4.66,MEDIUM
DP-0834,68.91,88.41,13.45,1.54,77.45,57.6,4,0,13.7,237.64,79.47,41,6.71,MEDIUM
DP-0835,39.11,46.64,0.0,0.0,45.37,31.36,8,0,4.43,147.69,81.23,37,2.85,MEDIUM
DP-0836,41.47,37.35,11.43,3.76,44.29,25.85,6,1,15.41,179.36,85.15,60,3.4,HIGH
DP-0837,78.5,78.86,0.0,11.74,58.99,81.72,2,0,3.92,139.29,77.77,25,5.35,LOW
DP-0838,53.1,44.91,2.59,5.43,36.28,40.8,4,0,15.3,310.41,82.22,8,4.06,MEDIUM
DP-0839,49.56,50.54,0.0,12.35,44.73,77.44,4,1,17.93,249.36,61.57,28,4.98,MEDIUM
DP-0840,95.71,93.65,0.46,0.0,88.86,100.0,2,0,9.02,186.89,92.26,33,6.64,LOW
DP-0841,53.96,52.43,0.0,16.39,35.27,69.06,6,0,4.35,213.74,83.68,36,6.22,LOW
DP-0842,64.35,56.14,20.98,12.85,43.13,63.37,3,0,10.82,104.5,72.64,23,3.76,MEDIUM
DP-0843,52.42,46.97,2.01,0.0,60.86,46.09,7,1,6.77,159.53,85.09,36,4.44,MEDIUM
DP-0844,87.9,97.64,4.45,0.0,76.35,95.6,3,0,2.59,109.52,69.38,36,7.18,LOW
DP-0845,69.26,73.28,0.0,6.45,54.69,82.49,8,1,10.39,217.79,83.13,41,4.88,MEDIUM
DP-0846,39.35,57.44,6.48,3.42,22.9,72.89,4,1,12.98,317.68,79.48,28,4.67,MEDIUM
DP-0847,41.84,42.06,10.71,4.85,5.26,61.55,5,2,12.21,80.0,83.0,23,3.4,HIGH
DP-0848,68.77,73.82,0.0,16.2,56.25,32.51,6,0,5.31,224.77,76.83,34,6.54,LOW
DP-0849,83.8,100.0,4.62,0.74,78.0,71.48,2,0,0.0,178.23,69.57,30,6.49,LOW
DP-0850,58.11,56.42,7.82,0.0,41.95,62.99,7,1,14.94,200.51,78.07,59,4.13,HIGH
DP-0851,70.83,61.15,0.0,7.29,87.94,45.26,4,0,2.23,181.51,94.67,66,4.95,LOW
DP-0852,29.2,69.76,6.61,0.0,36.35,44.42,3,0,14.23,270.19,70.78,52,5.27,MEDIUM
DP-0853,23.52,22.79,8.56,13.82,28.61,39.51,7,1,17.91,246.01,72.56,26,4.16,HIGH
DP-0854,48.34,31.3,14.75,18.19,43.59,51.91,5,2,0.0,272.27,80.58,43,3.27,HIGH
DP-0855,26.81,19.69,0.0,6.85,40.74,30.13,6,2,2.36,119.02,83.79,47,2.4,HIGH
DP-0856,44.9,55.59,5.66,6.93,65.56,43.83,5,0,8.34,237.31,80.82,46,3.65,MEDIUM
DP-0857,50.73,41.79,4.24,6.47,52.63,72.2,4,0,7.94,239.69,78.01,48,3.38,MEDIUM
DP-0858,34.48,45.22,10.83,7.79,37.46,34.97,5,2,13.79,336.22,74.02,10,4.08,HIGH
DP-0859,38.76,50.96,11.9,9.15,45.27,42.0,3,0,14.91,332.62,78.12,31,3.41,MEDIUM
DP-0860,59.93,50.32,0.0,4.05,41.44,54.73,5,0,8.64,327.44,77.87,51,4.76,LOW
DP-0861,66.01,52.53,0.0,9.76,86.66,51.64,3,0,9.43,195.71,86.38,44,4.04,LOW
DP-0862,61.62,58.25,2.9,4.92,22.81,52.45,3,0,2.94,217.93,82.68,16,3.46,MEDIUM
DP-0863,47.04,42.41,1.16,10.6,52.04,33.67,2,0,7.12,154.39,77.9,42,2.99,MEDIUM
DP-0864,62.1,67.57,3.71,0.0,52.99,50.99,3,0,2.84,152.83,83.75,76,5.85,LOW
DP-0865,60.7,63.5,8.54,3.35,36.58,40.56,5,0,4.09,202.72,80.19,29,5.14,MEDIUM
DP-0866,31.67,25.11,5.61,4.42,53.5,47.1,4,0,15.35,178.96,78.68,34,2.87,MEDIUM
DP-0867,24.13,22.38,8.4,6.05,38.9,17.83,7,1,11.73,175.96,84.75,32,3.04,HIGH
DP-0868,83.83,81.38,0.0,0.0,50.25,85.12,3,0,0.0,277.91,78.57,8,5.36,LOW
DP-0869,21.05,29.94,4.83,7.81,33.89,37.35,4,0,9.6,203.65,81.13,28,2.21,MEDIUM
DP-0870,5.0,5.0,12.8,6.94,5.0,5.5,6,1,12.09,239.38,85.05,9,1.79,HIGH
DP-0871,53.59,58.15,2.46,0.0,78.95,39.73,5,1,6.23,168.52,74.98,31,5.05,MEDIUM
DP-0872,42.09,49.95,0.17,3.34,34.97,23.85,3,0,0.76,259.69,89.82,60,3.25,MEDIUM
DP-0873,54.46,45.81,0.0,14.57,58.9,73.61,5,0,14.25,226.03,84.39,16,3.59,MEDIUM
DP-0874,59.62,37.66,5.61,4.62,61.08,73.28,3,0,12.09,148.04,91.76,22,2.73,LOW
DP-0875,49.59,46.69,6.45,9.53,42.53,55.37,2,0,9.43,80.0,85.07,3,4.03,MEDIUM
DP-0876,84.16,77.01,2.03,0.0,85.79,67.92,5,0,13.6,91.0,95.66,64,5.45,LOW
